Name,Age,Address
John,,Rome
Sophia,,Paris
James,45.0,Berlin
Alice,60.0,Moscow
Alice,22.0,Moscow
Emma,25.0,New York
Mike,26.0,New York
Sophia,35.0,Sydney
Mike,27.0,New York
Laura,54.0,Rome
James,24.0,Toronto
Olivia,,Madrid
Sophia,36.0,London
Bob,,Moscow
Mike,37.0,Rome
Emma,57.0,London
Mike,32.0,
Eve,56.0,New York
Laura,30.0,Madrid
Mike,,Madrid
John,40.0,New York
Emma,50.0,Toronto
David,57.0,Toronto
Bob,44.0,
Alice,47.0,Tokyo
Emma,29.0,Moscow
Olivia,22.0,Tokyo
Sophia,56.0,Tokyo
Alice,38.0,Paris
David,23.0,Berlin
James,,Moscow
Mike,47.0,Paris
Olivia,36.0,Sydney
John,39.0,Moscow
Eve,,Toronto
David,51.0,Moscow
Emma,32.0,Tokyo
Bob,51.0,Tokyo
Alice,,Madrid
Mike,60.0,Rome
Alice,45.0,
Sophia,25.0,Moscow
Mike,44.0,Paris
Sophia,25.0,New York
Emma,50.0,Toronto
Laura,20.0,London
Emma,48.0,
Alice,23.0,Tokyo
Olivia,52.0,Rome
Laura,27.0,Tokyo
Olivia,46.0,Berlin
Bob,22.0,Toronto
Eve,,Madrid
John,36.0,New York
Mike,23.0,Madrid
Bob,49.0,Toronto
Laura,,London
Emma,23.0,London
Mike,22.0,Moscow
Sophia,46.0,Toronto
Mike,20.0,Berlin
John,59.0,London
Bob,,Moscow
John,40.0,Moscow
Alice,55.0,Madrid
Laura,,Madrid
Mike,,Moscow
Emma,31.0,Madrid
Olivia,43.0,Madrid
Eve,,Rome
John,29.0,
Sophia,21.0,Rome
Bob,38.0,Rome
Sophia,46.0,Rome
Mike,60.0,Rome
Olivia,21.0,Berlin
Mike,51.0,London
James,40.0,New York
Mike,35.0,Toronto
David,25.0,New York
David,55.0,Sydney
John,20.0,Madrid
David,37.0,London
James,24.0,Paris
Alice,,Paris
Eve,,
Bob,,Rome
Eve,58.0,Paris
Emma,21.0,Sydney
Mike,37.0,Berlin
Laura,41.0,Tokyo
James,21.0,Berlin
Eve,36.0,Paris
John,54.0,Madrid
James,47.0,Sydney
Mike,38.0,New York
James,44.0,Toronto
Olivia,58.0,Tokyo
Mike,59.0,Moscow
David,,Berlin
Alice,50.0,Paris
David,45.0,Moscow
Sophia,,Berlin
Mike,,Rome
Alice,32.0,Moscow
Mike,41.0,Sydney
Sophia,,Toronto
Alice,29.0,Moscow
James,32.0,Rome
Sophia,43.0,
Mike,,
David,43.0,Madrid
David,60.0,Berlin
Mike,25.0,Madrid
Sophia,41.0,Moscow
Bob,59.0,Rome
Bob,54.0,Sydney
Bob,37.0,Toronto
Eve,57.0,Tokyo
Olivia,52.0,Madrid
John,,Sydney
Mike,25.0,New York
Mike,52.0,
Emma,44.0,Paris
Bob,20.0,Sydney
Sophia,,Sydney
John,57.0,Paris
Emma,59.0,Rome
David,60.0,
Laura,45.0,Moscow
John,22.0,Moscow
Olivia,55.0,Madrid
Bob,42.0,Berlin
David,57.0,Sydney
John,30.0,Sydney
James,42.0,Madrid
David,55.0,London
Olivia,31.0,Berlin
Bob,60.0,New York
James,24.0,Madrid
Bob,53.0,Moscow
Eve,33.0,Moscow
David,42.0,Rome
Alice,,Berlin
Bob,,New York
Eve,24.0,Berlin
Alice,21.0,Toronto
John,38.0,London
Laura,,
James,20.0,Moscow
Emma,51.0,Moscow
Mike,48.0,Rome
Sophia,37.0,
Eve,37.0,
James,29.0,Sydney
Emma,24.0,
Alice,47.0,London
Laura,48.0,New York
Eve,49.0,Paris
Eve,47.0,Berlin
Mike,21.0,Rome
Laura,47.0,Madrid
Sophia,51.0,Moscow
Alice,38.0,Berlin
Emma,34.0,London
Alice,21.0,Tokyo
Sophia,40.0,London
John,31.0,Sydney
Olivia,47.0,New York
Bob,35.0,Tokyo
Bob,29.0,
David,,Berlin
Sophia,57.0,Madrid
James,,Rome
Alice,57.0,Toronto
Emma,,Moscow
James,23.0,Madrid
Laura,20.0,Berlin
Mike,37.0,Sydney
Emma,23.0,Toronto
Eve,56.0,
David,44.0,London
Mike,57.0,Paris
Olivia,52.0,
David,41.0,Berlin
Laura,48.0,New York
Bob,47.0,Sydney
Emma,,Moscow
Bob,48.0,Madrid
Laura,40.0,Toronto
James,43.0,
James,26.0,Paris
Sophia,,Toronto
Emma,30.0,Madrid
David,41.0,Toronto
Laura,50.0,Paris
Alice,33.0,Toronto
Eve,21.0,Berlin
John,25.0,Berlin
David,53.0,Paris
Laura,,Moscow
Alice,21.0,Toronto
James,37.0,Madrid
Mike,52.0,Sydney
Mike,25.0,Moscow
James,42.0,Toronto
Olivia,28.0,Madrid
Sophia,44.0,Sydney
Bob,42.0,Tokyo
Eve,,New York
Mike,33.0,Tokyo
Bob,57.0,Madrid
Alice,25.0,Tokyo
Olivia,33.0,Berlin
Sophia,22.0,Madrid
David,32.0,Sydney
Olivia,42.0,Moscow
James,38.0,Berlin
Eve,29.0,Toronto
Sophia,21.0,
James,,Sydney
Laura,58.0,Rome
Mike,49.0,London
Laura,58.0,Berlin
James,,Toronto
Laura,23.0,Tokyo
James,39.0,Moscow
Eve,,Rome
Sophia,,Berlin
Sophia,58.0,Sydney
Mike,53.0,Paris
Olivia,38.0,Moscow
Eve,55.0,New York
Alice,,London
Alice,,Rome
James,56.0,
John,29.0,Toronto
Eve,42.0,London
Laura,57.0,Madrid
Eve,33.0,
Mike,41.0,New York
Sophia,28.0,
Mike,,Rome
John,44.0,Moscow
Eve,20.0,Madrid
Eve,35.0,Moscow
Sophia,33.0,Toronto
Bob,51.0,Madrid
Alice,35.0,Berlin
Emma,47.0,
Bob,49.0,Tokyo
Bob,,Toronto
Sophia,47.0,Sydney
Bob,34.0,Tokyo
Mike,31.0,Tokyo
Bob,44.0,
Emma,38.0,Paris
Laura,54.0,London
Mike,21.0,Rome
Olivia,20.0,Toronto
Bob,48.0,Moscow
Laura,,Toronto
Sophia,,London
Bob,24.0,Paris
David,58.0,Paris
Laura,,New York
Laura,52.0,
Mike,47.0,Moscow
John,32.0,New York
Mike,50.0,Toronto
Eve,48.0,Moscow
Mike,46.0,Sydney
Olivia,,
James,45.0,New York
Sophia,36.0,Madrid
Emma,38.0,London
Alice,59.0,Tokyo
Olivia,25.0,Moscow
Mike,29.0,London
Olivia,24.0,Moscow
David,,Berlin
Mike,50.0,Paris
Olivia,42.0,New York
Olivia,47.0,Rome
Mike,44.0,Moscow
